#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 3.1665 3.6297 0.8000 0.5232 0.400
  2 2.219790e+05 3.2131 3.6256 0.8000 0.5251 0.400
  3 5.066560e+05 3.2764 3.6201 0.8000 0.5281 0.400
  4 8.381120e+05 3.3522 3.6135 0.8000 0.5325 0.400
  5 1.179910e+06 3.4302 3.6063 0.8000 0.5383 0.400
  6 1.507690e+06 3.5027 3.6000 0.7998 0.5453 0.400
  7 1.813790e+06 3.5673 3.5945 0.7991 0.5533 0.400
  8 2.096250e+06 3.6239 3.5897 0.7966 0.5621 0.400
  9 2.354780e+06 3.6729 3.5856 0.7886 0.5714 0.400
 10 2.590080e+06 3.7153 3.5830 0.7632 0.5811 0.400
