#n   age/yr      logL   logTef grav    logTc  logrho Xc     Yc     Xc_C   Xc_O   Q_conv Q_disc L_H/L Q1_H Q2_H L_He/L Q1_He Q2_He L_C/L L_nu/L Q_Tmax phase
#(1) (2)         (3)    (4)    (5)     (6)    (7)    (8)    (9)    (10)   (11)   (12)   (13)   (14) (15)  (16) (17)   (18)  (19)  (20)  (21)   (22)   (23) 
  1 0.000000e+00 0.7074 3.9013 4.4279  7.2583 1.9663 0.7630 0.2328 0.0000 0.0019 0.175 0.216  1.001 0.000 0.478 0.000 0.000 0.000 0.000 0.000 0.000 bms
  2 3.524252e+08 0.7425 3.9043 4.4048  7.2709 1.9928 0.7112 0.2847 0.0000 0.0018 0.170 0.626  1.000 0.000 0.537 0.000 0.000 0.000 0.000 0.000 0.000 
  3 7.131494e+08 0.7836 3.9069 4.3741  7.2875 2.0269 0.6442 0.3517 0.0000 0.0016 0.163 0.691  1.000 0.000 0.537 0.000 0.000 0.000 0.000 0.000 0.000 
  4 9.421964e+08 0.8103 3.9076 4.3502  7.2987 2.0494 0.5981 0.3978 0.0000 0.0014 0.160 0.711  1.001 0.000 0.537 0.000 0.000 0.000 0.000 0.000 0.000 tmaxms
  5 1.275476e+09 0.8520 3.9055 4.3001  7.3162 2.0824 0.5172 0.4787 0.0000 0.0010 0.155 0.734  1.001 0.000 0.523 0.000 0.000 0.000 0.000 0.000 0.000 
  6 1.547009e+09 0.8835 3.9001 4.2470  7.3292 2.1052 0.4479 0.5481 0.0000 0.0006 0.150 0.744  1.001 0.000 0.501 0.000 0.000 0.000 0.000 0.000 0.000 
  7 1.757919e+09 0.9117 3.8923 4.1876  7.3418 2.1279 0.3786 0.6174 0.0000 0.0004 0.144 0.749  1.001 0.000 0.486 0.000 0.000 0.000 0.000 0.000 0.000 
  8 1.922457e+09 0.9332 3.8840 4.1329  7.3524 2.1488 0.3200 0.6761 0.0000 0.0003 0.137 0.749  1.001 0.000 0.463 0.000 0.000 0.000 0.000 0.000 0.000 
  9 2.050988e+09 0.9518 3.8740 4.0743  7.3631 2.1711 0.2624 0.7337 0.0000 0.0002 0.130 0.754  1.002 0.000 0.447 0.000 0.000 0.000 0.000 0.000 0.000 
 10 2.154061e+09 0.9649 3.8645 4.0232  7.3721 2.1916 0.2152 0.7809 0.0000 0.0002 0.122 0.754  1.002 0.000 0.430 0.000 0.000 0.000 0.000 0.000 0.000 
 11 2.239895e+09 0.9756 3.8547 3.9733  7.3810 2.2136 0.1713 0.8248 0.0000 0.0001 0.115 0.754  1.002 0.000 0.404 0.000 0.000 0.000 0.000 0.000 0.000 
 12 2.315829e+09 0.9846 3.8448 3.9247  7.3908 2.2394 0.1283 0.8678 0.0000 0.0001 0.108 0.754  1.002 0.000 0.371 0.000 0.000 0.000 0.000 0.000 0.000 
 13 2.391027e+09 0.9945 3.8348 3.8748  7.4046 2.2786 0.0802 0.9159 0.0000 0.0001 0.099 0.754  1.002 0.000 0.343 0.000 0.000 0.000 0.000 0.000 0.000 
 14 2.453532e+09 1.0092 3.8297 3.8397  7.4271 2.3457 0.0334 0.9627 0.0000 0.0001 0.089 0.754  1.000 0.000 0.328 0.000 0.000 0.000 0.000 0.000 0.000 tminms
