#n   age/yr      logL   logTef grav    logTc  logrho Xc     Yc     Xc_C   Xc_O   Q_conv Q_disc L_H/L Q1_H Q2_H L_He/L Q1_He Q2_He L_C/L L_nu/L Q_Tmax phase
#(1) (2)         (3)    (4)    (5)     (6)    (7)    (8)    (9)    (10)   (11)   (12)   (13)   (14) (15)  (16) (17)   (18)  (19)  (20)  (21)   (22)   (23) 
  1 0.000000e+00 1.7462 3.6743 2.2892  8.0678 4.3238 0.0000 0.9603 0.0319 0.0004 0.000 0.531  0.712 0.516 0.564 0.284 0.000 0.055 0.000 0.000 0.000 bcheb
  2 3.393748e+07 1.7201 3.6808 2.3413  8.0902 4.2524 0.0000 0.6319 0.3139 0.0451 0.224 0.561  0.550 0.530 0.573 0.453 0.000 0.077 0.000 0.000 0.000 
  3 7.533522e+07 1.7223 3.6835 2.3499  8.1291 4.2239 0.0000 0.2566 0.5029 0.2308 0.224 0.582  0.320 0.545 0.593 0.685 0.000 0.101 0.000 0.001 0.000 tmaxcheb
  4 9.583119e+07 1.7592 3.6799 2.2986  8.1641 4.2746 0.0000 0.0967 0.4597 0.4337 0.220 0.588  0.257 0.550 0.594 0.745 0.000 0.111 0.000 0.002 0.000 
  5 1.030232e+08 1.7968 3.6759 2.2450  8.1880 4.3348 0.0000 0.0439 0.3951 0.5510 0.222 0.589  0.280 0.552 0.591 0.714 0.000 0.119 0.000 0.003 0.000 
  6 1.052509e+08 1.8333 3.6720 2.1929  8.2065 4.3934 0.0000 0.0214 0.3602 0.6084 0.222 0.589  0.330 0.553 0.587 0.660 0.000 0.125 0.000 0.004 0.000 
  7 1.064443e+08 1.8717 3.6682 2.1393  8.2229 4.4498 0.0000 0.0104 0.3355 0.6440 0.222 0.590  0.388 0.554 0.584 0.591 0.000 0.136 0.000 0.005 0.000 
  8 1.070900e+08 1.9060 3.6647 2.0910  8.2356 4.4957 0.0000 0.0056 0.3228 0.6615 0.222 0.590  0.438 0.554 0.582 0.527 0.000 0.129 0.000 0.006 0.000 
  9 1.074557e+08 1.9444 3.6610 2.0378  8.2489 4.5457 0.0000 0.0028 0.3147 0.6723 0.204 0.590  0.492 0.554 0.580 0.447 0.000 0.131 0.000 0.006 0.000 
 10 1.076547e+08 1.9872 3.6573 1.9802  8.2629 4.6045 0.0000 0.0011 0.3098 0.6789 0.167 0.590  0.546 0.555 0.578 0.316 0.000 0.131 0.000 0.007 0.000 
 11 1.077635e+08 2.0239 3.6538 1.9295  8.2738 4.6586 0.0000 0.0004 0.3078 0.6815 0.134 0.590  0.585 0.555 0.576 0.195 0.222 0.257 0.000 0.008 0.000 
 12 1.078335e+08 2.0627 3.6503 1.8767  8.2830 4.7192 0.0000 0.0001 0.3068 0.6828 0.079 0.590  0.617 0.555 0.575 0.069 0.222 0.293 0.000 0.009 0.000 
 13 1.078859e+08 2.1016 3.6469 1.8242  8.2826 4.7877 0.0000 0.0000 0.3066 0.6832 0.000 0.590  0.638 0.555 0.574 0.016 0.011 0.308 0.000 0.009 0.000 
 14 1.079302e+08 2.1385 3.6434 1.7733  8.2833 4.8411 0.0000 0.0000 0.3066 0.6832 0.000 0.590  0.655 0.555 0.573 0.020 0.029 0.310 0.000 0.009 0.000 
 15 1.079745e+08 2.1731 3.6402 1.7259  8.2862 4.8863 0.0000 0.0000 0.3066 0.6832 0.000 0.590  0.670 0.555 0.572 0.029 0.042 0.319 0.000 0.009 0.000 
 16 1.080184e+08 2.2157 3.6361 1.6669  8.2905 4.9361 0.0000 0.0000 0.3066 0.6832 0.000 0.590  0.692 0.555 0.572 0.049 0.057 0.332 0.000 0.009 0.000 
