#n   age/yr      logL   logTef grav    logTc  logrho Xc     Yc     Xc_C   Xc_O   Q_conv Q_disc L_H/L Q1_H Q2_H L_He/L Q1_He Q2_He L_C/L L_nu/L Q_Tmax phase
#(1) (2)         (3)    (4)    (5)     (6)    (7)    (8)    (9)    (10)   (11)   (12)   (13)   (14) (15)  (16) (17)   (18)  (19)  (20)  (21)   (22)   (23) 
  1 0.000000e+00 2.5495 4.3029 4.6482  7.4901 1.6723 0.7368 0.2628 0.0000 0.0001 0.340 0.342  1.010 0.000 0.528 0.000 0.000 0.000 0.000 0.000 0.000 bms
  2 1.680560e+07 2.5831 4.2994 4.6006  7.4911 1.6567 0.6883 0.3113 0.0000 0.0000 0.321 0.427  1.002 0.000 0.500 0.000 0.000 0.000 0.000 0.000 0.000 
  3 3.519706e+07 2.6227 4.2974 4.5530  7.4983 1.6553 0.6283 0.3713 0.0000 0.0000 0.306 0.514  1.002 0.000 0.463 0.000 0.000 0.000 0.000 0.000 0.000 
  4 5.135161e+07 2.6582 4.2946 4.5063  7.5051 1.6549 0.5715 0.4281 0.0000 0.0000 0.293 0.542  1.002 0.000 0.427 0.000 0.000 0.000 0.000 0.000 0.000 
  5 6.523897e+07 2.7000 4.2900 4.4461  7.5136 1.6575 0.5027 0.4969 0.0000 0.0000 0.271 0.562  1.002 0.000 0.394 0.000 0.000 0.000 0.000 0.000 0.000 
  6 7.722524e+07 2.7329 4.2851 4.3936  7.5208 1.6623 0.4455 0.5541 0.0000 0.0000 0.249 0.582  1.002 0.000 0.362 0.000 0.000 0.000 0.000 0.000 0.000 
  7 8.765543e+07 2.7660 4.2790 4.3361  7.5290 1.6667 0.3822 0.6174 0.0000 0.0000 0.234 0.582  1.002 0.240 0.329 0.000 0.000 0.000 0.000 0.000 0.000 
  8 9.575874e+07 2.7979 4.2716 4.2746  7.5374 1.6753 0.3229 0.6767 0.0000 0.0000 0.220 0.592  1.002 0.223 0.283 0.000 0.000 0.000 0.000 0.000 0.000 
  9 1.024610e+08 2.8241 4.2644 4.2196  7.5451 1.6859 0.2730 0.7266 0.0000 0.0000 0.206 0.592  1.002 0.209 0.238 0.000 0.000 0.000 0.000 0.000 0.000 
 10 1.079978e+08 2.8490 4.2563 4.1623  7.5536 1.7001 0.2238 0.7758 0.0000 0.0000 0.192 0.592  1.002 0.194 0.199 0.000 0.000 0.000 0.000 0.000 0.000 
