#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.2845 3.6215 4.0000 0.9108 0.293
  2 3.385680e+03 4.3030 3.6201 4.0000 0.9115 0.369
  3 8.830900e+03 4.3277 3.6171 4.0000 0.9119 0.516
  4 1.464390e+04 4.3493 3.6138 4.0000 0.9120 0.681
  5 2.053760e+04 4.3678 3.6107 4.0000 0.9121 0.853
  6 2.646440e+04 4.3838 3.6073 4.0000 0.9121 1.029
  7 3.241470e+04 4.3975 3.6042 4.0000 0.9121 1.208
  8 3.838490e+04 4.4095 3.6007 4.0000 0.9122 1.389
  9 4.437250e+04 4.4198 3.5972 4.0000 0.9122 1.565
 10 5.037550e+04 4.4289 3.5939 4.0000 0.9122 1.718
 11 5.639200e+04 4.4368 3.5902 4.0000 0.9122 1.790
 12 6.242050e+04 4.4439 3.5869 4.0000 0.9122 1.722
 13 6.845970e+04 4.4501 3.5832 4.0000 0.9122 1.502
 14 7.450840e+04 4.4557 3.5808 4.0000 0.9123 1.177
 15 8.056580e+04 4.4608 3.5822 3.9999 0.9123 0.821
 16 8.663110e+04 4.4654 3.5860 3.9999 0.9123 0.511
 17 9.270350e+04 4.4696 3.5868 3.9999 0.9123 0.322
 18 9.878220e+04 4.4736 3.5864 3.9999 0.9123 0.251
 19 1.048670e+05 4.4772 3.5857 3.9999 0.9123 0.237
 20 1.109560e+05 4.4807 3.5846 3.9999 0.9123 0.238
 21 1.170500e+05 4.4839 3.5835 3.9998 0.9123 0.245
 22 1.231490e+05 4.4871 3.5821 3.9998 0.9123 0.251
 23 1.292500e+05 4.4901 3.5812 3.9998 0.9123 0.259
 24 1.353560e+05 4.4930 3.5801 3.9997 0.9123 0.268
 25 1.414620e+05 4.4958 3.5791 3.9997 0.9123 0.276
 26 1.475710e+05 4.4986 3.5779 3.9996 0.9123 0.286
 27 1.536820e+05 4.5013 3.5768 3.9996 0.9123 0.295
 28 1.597960e+05 4.5039 3.5760 3.9995 0.9123 0.305
 29 1.659130e+05 4.5066 3.5750 3.9994 0.9124 0.315
 30 1.720330e+05 4.5092 3.5741 3.9994 0.9124 0.326
