#n   age/yr      logL   logTef grav    logTc  logrho Xc     Yc     Xc_C   Xc_O   Q_conv Q_disc L_H/L Q1_H Q2_H L_He/L Q1_He Q2_He L_C/L L_nu/L Q_Tmax phase
#(1) (2)         (3)    (4)    (5)     (6)    (7)    (8)    (9)    (10)   (11)   (12)   (13)   (14) (15)  (16) (17)   (18)  (19)  (20)  (21)   (22)   (23) 
  1 0.000000e+00 1.7145 3.6767 2.3763  8.0699 4.3114 0.0000 0.9561 0.0360 0.0005 0.000 0.485  0.658 0.469 0.518 0.342 0.000 0.060 0.000 0.000 0.000 bcheb
  2 6.956823e+07 1.6989 3.6826 2.4155  8.1250 4.2195 0.0000 0.2865 0.4980 0.2059 0.199 0.526  0.298 0.491 0.535 0.705 0.000 0.092 0.000 0.001 0.000 tmaxcheb
  3 9.334690e+07 1.7366 3.6790 2.3634  8.1641 4.2743 0.0000 0.0966 0.4600 0.4335 0.197 0.531  0.217 0.496 0.535 0.781 0.000 0.100 0.000 0.002 0.000 
  4 1.007377e+08 1.7745 3.6753 2.3107  8.1894 4.3398 0.0000 0.0417 0.3925 0.5557 0.197 0.532  0.243 0.497 0.532 0.751 0.000 0.107 0.000 0.003 0.000 
  5 1.029716e+08 1.8125 3.6716 2.2579  8.2094 4.4041 0.0000 0.0188 0.3551 0.6160 0.197 0.532  0.299 0.498 0.528 0.687 0.000 0.112 0.000 0.004 0.000 
  6 1.040928e+08 1.8504 3.6681 2.2060  8.2258 4.4613 0.0000 0.0090 0.3320 0.6488 0.197 0.532  0.359 0.498 0.526 0.614 0.000 0.122 0.000 0.005 0.000 
  7 1.046903e+08 1.8868 3.6649 2.1568  8.2398 4.5121 0.0000 0.0045 0.3198 0.6654 0.198 0.532  0.417 0.499 0.523 0.537 0.000 0.117 0.000 0.006 0.000 
  8 1.050097e+08 1.9233 3.6610 2.1047  8.2526 4.5611 0.0000 0.0022 0.3132 0.6743 0.175 0.532  0.471 0.499 0.521 0.448 0.000 0.118 0.000 0.007 0.000 
  9 1.051818e+08 1.9632 3.6578 2.0520  8.2658 4.6194 0.0000 0.0009 0.3093 0.6796 0.144 0.532  0.524 0.499 0.519 0.307 0.197 0.208 0.000 0.008 0.000 
 10 1.052766e+08 2.0019 3.6544 1.9997  8.2771 4.6788 0.0000 0.0003 0.3075 0.6819 0.107 0.532  0.568 0.499 0.518 0.164 0.197 0.238 0.000 0.009 0.000 
