 
   Teff    log g   log L/Lo     Age(Gyr)      Y       F220W   F250W   F330W   F344N   F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W  F850LP   F892N   BC(V)    M_U     M_B     M_V     M_R      M_I    M_J     M_H     M_K      M_L	G
   60350.  7.72436  0.564551   1.700225800 0.10E+01   5.139   5.705   6.386   6.477   8.098   8.241   8.381   8.476   8.407   8.442   8.559   8.516   8.594   8.736   8.768   8.936   8.961  -5.101   6.895   8.133   8.456   8.604   8.801   9.224   9.352   9.523   9.623	 8.482
   57709.  7.74182  0.469366   1.700421400 0.10E+01   5.237   5.800   6.478   6.569   8.186   8.328   8.466   8.561   8.492   8.526   8.643   8.603   8.680   8.819   8.851   9.019   9.044  -4.947   6.987   8.221   8.540   8.687   8.884   9.306   9.433   9.604   9.704	 8.566
   55218.  7.75788  0.376657   1.700639000 0.10E+01   5.331   5.892   6.568   6.657   8.271   8.411   8.547   8.642   8.574   8.608   8.723   8.687   8.762   8.898   8.930   9.099   9.123  -4.797   7.075   8.305   8.621   8.768   8.963   9.384   9.510   9.681   9.782	 8.647
   52854.  7.77266  0.285867   1.700881500 0.10E+01   5.424   5.982   6.654   6.744   8.353   8.491   8.626   8.720   8.653   8.686   8.801   8.768   8.842   8.975   9.007   9.175   9.200  -4.648   7.161   8.387   8.700   8.846   9.040   9.460   9.585   9.756   9.857	 8.726
   50590.  7.78608  0.196381   1.701150400 0.10E+01   5.515   6.070   6.739   6.828   8.432   8.570   8.703   8.795   8.729   8.763   8.877   8.847   8.920   9.049   9.081   9.250   9.274  -4.500   7.246   8.467   8.776   8.921   9.114   9.532   9.657   9.828   9.930	 8.802
   48457.  7.79844  0.109192   1.701449500 0.10E+01   5.605   6.157   6.823   6.911   8.510   8.646   8.777   8.869   8.804   8.837   8.950   8.925   8.995   9.122   9.153   9.322   9.346  -4.356   7.328   8.544   8.849   8.994   9.186   9.603   9.727   9.898  10.000	 8.875
   46447.  7.80994  0.024105   1.701784000 0.10E+01   5.694   6.243   6.906   6.994   8.587   8.721   8.851   8.941   8.877   8.910   9.022   9.001   9.070   9.192   9.224   9.393   9.417  -4.216   7.410   8.621   8.922   9.066   9.257   9.672   9.796   9.966  10.068	 8.948
   43942.  7.82394 -0.086204   1.702291500 0.10E+01   5.813   6.358   7.016   7.103   8.688   8.820   8.947   9.036   8.974   9.006   9.117   9.101   9.168   9.285   9.317   9.486   9.510  -4.036   7.519   8.722   9.018   9.160   9.349   9.763   9.885  10.055  10.158	 9.044
   41619.  7.83639 -0.193017   1.702877600 0.10E+01   5.933   6.474   7.126   7.213   8.789   8.918   9.042   9.130   9.069   9.101   9.210   9.202   9.265   9.377   9.409   9.578   9.602  -3.863   7.628   8.823   9.112   9.254   9.441   9.851   9.973  10.143  10.246	 9.138
   39459.  7.84787 -0.297085   1.703561400 0.10E+01   6.057   6.593   7.240   7.326   8.892   9.018   9.139   9.225   9.166   9.197   9.305   9.304   9.364   9.469   9.501   9.670   9.694  -3.698   7.740   8.925   9.207   9.348   9.533   9.941  10.060  10.230  10.335	 9.233
