 
   Teff    log g   log L/Lo     Age(Gyr)      Y       F220W   F250W   F330W   F344N   F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W  F850LP   F892N   BC(V)    M_U     M_B     M_V     M_R      M_I    M_J     M_H     M_K      M_L	G	BP	RP
   60026.  8.29014  0.139136   0.201447800 0.10E+01   6.190   6.756   7.437   7.527   9.152   9.295   9.431   9.525   9.458   9.493   9.609   9.575   9.652   9.785   9.816   9.985  10.008  -5.087   7.946   9.188   9.505   9.653   9.850  10.275  10.403  10.575  10.678	 9.493	 9.307	 9.810
   57295.  8.29582  0.052560   0.201582900 0.10E+01   6.259   6.823   7.501   7.591   9.212   9.353   9.488   9.581   9.515   9.549   9.664   9.634   9.710   9.839   9.871  10.039  10.063  -4.926   8.009   9.247   9.561   9.709   9.904  10.328  10.455  10.627  10.730	 9.549	 9.365	 9.865
   54748.  8.30115 -0.031764   0.201735500 0.10E+01   6.328   6.889   7.564   7.653   9.271   9.410   9.544   9.636   9.570   9.604   9.719   9.692   9.767   9.892   9.924  10.092  10.116  -4.771   8.072   9.306   9.616   9.763   9.957  10.380  10.506  10.678  10.781	 9.605	 9.423	 9.919
   52365.  8.30613 -0.114037   0.201908300 0.10E+01   6.397   6.955   7.627   7.716   9.329   9.467   9.598   9.690   9.625   9.659   9.772   9.749   9.822   9.945   9.976  10.145  10.168  -4.619   8.134   9.364   9.670   9.817  10.010  10.431  10.556  10.728  10.832	 9.661	 9.480	 9.972
   50130.  8.31069 -0.194389   0.202104400 0.10E+01   6.465   7.020   7.689   7.778   9.386   9.523   9.652   9.743   9.679   9.712   9.825   9.806   9.878   9.996  10.028  10.196  10.219  -4.472   8.195   9.421   9.724   9.869  10.061  10.481  10.606  10.778  10.881	 9.715	 9.535	10.023
   48043.  8.31495 -0.272493   0.202328200 0.10E+01   6.534   7.086   7.751   7.840   9.443   9.578   9.706   9.795   9.733   9.766   9.878   9.863   9.932  10.048  10.079  10.247  10.270  -4.329   8.257   9.478   9.777   9.921  10.112  10.531  10.654  10.826  10.930	 9.769	 9.591	10.075
   45468.  8.32025 -0.373499   0.202681000 0.10E+01   6.626   7.174   7.835   7.923   9.519   9.652   9.777   9.865   9.804   9.837   9.947   9.938  10.006  10.115  10.147  10.315  10.338  -4.147   8.340   9.554   9.847   9.991  10.180  10.596  10.719  10.890  10.995	 9.841	 9.665	10.144
   43094.  8.32508 -0.471499   0.203116100 0.10E+01   6.721   7.265   7.921   8.008   9.597   9.727   9.850   9.936   9.877   9.908  10.018  10.015  10.080  10.184  10.216  10.384  10.406  -3.973   8.424   9.631   9.918  10.061  10.248  10.662  10.784  10.955  11.060	 9.914	 9.740	10.212
   40902.  8.32948 -0.566598   0.203666000 0.10E+01   6.819   7.359   8.009   8.096   9.676   9.804   9.923  10.008   9.951   9.982  10.090  10.094  10.156  10.254  10.285  10.454  10.476  -3.808   8.512   9.711   9.991  10.133  10.318  10.730  10.849  11.020  11.126	 9.989	 9.818	10.283
   38872.  8.33362 -0.659144   0.204386500 0.10E+01   6.921   7.456   8.102   8.188   9.759   9.884  10.000  10.082  10.027  10.057  10.164  10.176  10.235  10.325  10.357  10.526  10.547  -3.652   8.603   9.793  10.066  10.206  10.389  10.798  10.916  11.087  11.193	10.065	 9.897	10.355
   36537.  8.33845 -0.771580   0.205674200 0.10E+01   7.061   7.591   8.230   8.315   9.871   9.992  10.103  10.182  10.130  10.160  10.264  10.289  10.343  10.422  10.454  10.623  10.644  -3.472   8.729   9.905  10.167  10.306  10.485  10.890  11.006  11.176  11.283	10.169	10.005	10.453
   34407.  8.34291 -0.880386   0.207719900 0.10E+01   7.217   7.742   8.372   8.456   9.995  10.110  10.216  10.292  10.244  10.272  10.374  10.412  10.461  10.528  10.560  10.728  10.749  -3.311   8.869  10.029  10.278  10.415  10.590  10.990  11.103  11.271  11.379	10.284	10.124	10.559
   32093.  8.34796 -1.006410   0.212136800 0.10E+01   7.430   7.947   8.567   8.649  10.161  10.269  10.366  10.437  10.394  10.421  10.519  10.578  10.618  10.667  10.699  10.867  10.888  -3.143   9.061  10.195  10.425  10.559  10.729  11.119  11.227  11.393  11.502	10.436	10.283	10.700
   30084.  8.35252 -1.123241   0.219772500 0.10E+01   7.655   8.163   8.770   8.851  10.332  10.430  10.518  10.583  10.546  10.571  10.665  10.742  10.776  10.806  10.838  11.005  11.026  -2.999   9.260  10.365  10.573  10.704  10.867  11.245  11.347  11.509  11.616	10.589	10.445	10.841
   28043.  8.35713 -1.249923   0.232892500 0.10E+01   7.908   8.402   8.990   9.068  10.512  10.600  10.679  10.737  10.706  10.728  10.816  10.905  10.936  10.948  10.980  11.144  11.166  -2.838   9.474  10.544  10.729  10.855  11.008  11.370  11.465  11.621  11.722	10.750	10.615	10.986
   25817.  8.36199 -1.398433   0.254330100 0.10E+01   8.198   8.669   9.228   9.303  10.706  10.782  10.852  10.899  10.875  10.893  10.975  11.070  11.102  11.096  11.126  11.285  11.309  -2.632   9.705  10.736  10.894  11.012  11.154  11.496  11.583  11.732  11.824	10.920	10.795	11.136
   23708.  8.36645 -1.550941   0.282958700 0.10E+01   8.486   8.932   9.461   9.532  10.892  10.957  11.016  11.054  11.036  11.050  11.126  11.225  11.258  11.236  11.264  11.418  11.443  -2.408   9.930  10.921  11.051  11.161  11.292  11.614  11.694  11.835  11.918	11.081	10.968	11.277
   21516.  8.37096 -1.723971   0.324421200 0.10E+01   8.816   9.233   9.727   9.794  11.100  11.151  11.198  11.224  11.214  11.224  11.293  11.399  11.435  11.390  11.417  11.566  11.592  -2.149  10.185  11.127  11.225  11.326  11.443  11.743  11.814  11.948  12.022	11.260	11.160	11.433
   19496.  8.37500 -1.899296   0.377493200 0.10E+01   9.160   9.547  10.005  10.067  11.313  11.349  11.383  11.396  11.394  11.400  11.461  11.577  11.616  11.544  11.570  11.714  11.742  -1.886  10.452  11.339  11.400  11.492  11.596  11.873  11.935  12.061  12.126	11.441	11.355	11.591
   18446.  8.37706 -1.997534   0.413096900 0.10E+01   9.360   9.730  10.165  10.225  11.434  11.461  11.488  11.492  11.496  11.499  11.556  11.679  11.719  11.631  11.657  11.797  11.826  -1.739  10.607  11.459  11.499  11.586  11.682  11.945  12.002  12.124  12.185	11.543	11.465	11.680
